file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f092-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f092-i06-p0001.jpg,1280,2048,1,dra037-s01-b007-f092-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f092-i06-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f092-i06-p0002.jpg,1263,2048,2,dra037-s01-b007-f092-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f093-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f093-i04-p0001.jpg,2048,1102,1,dra037-s01-b007-f093-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f093-i04-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f093-i04-p0002.jpg,2048,1127,2,dra037-s01-b007-f093-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f093-i04-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f093-i04-p0003.jpg,2048,1095,3,dra037-s01-b007-f093-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f093-i04-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f093-i04-p0004.jpg,2048,1085,4,dra037-s01-b007-f093-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f094-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f094-i02-p0001.jpg,1676,2048,1,dra037-s01-b007-f094-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f094-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f094-i02-p0002.jpg,1685,2048,2,dra037-s01-b007-f094-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f094-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f094-i02-p0003.jpg,1690,2048,3,dra037-s01-b007-f094-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f094-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f094-i02-p0004.jpg,1666,2048,4,dra037-s01-b007-f094-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0001.jpg,1323,2048,1,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0002.jpg,1337,2048,2,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0003.jpg,1334,2048,3,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0004.jpg,1359,2048,4,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0005.jpg,1311,2048,5,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0006.jpg,1335,2048,6,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0007.jpg,1296,2048,7,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0008.jpg,1338,2048,8,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0009.jpg,1296,2048,9,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0010.jpg,1329,2048,10,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0011.jpg,1330,2048,11,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0012.jpg,1300,2048,12,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0013.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0013.jpg,1314,2048,13,dra037-s01-b007-f095-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b007-f095-i02-p0014.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b007-f095-i02-p0014.jpg,1321,2048,14,dra037-s01-b007-f095-i02
