file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f035-i09-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f035-i09-p0001.jpg,701,2048,1,dra037-s01-b002-f035-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f036-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f036-i07-p0001.jpg,2048,1559,1,dra037-s01-b002-f036-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f036-i07-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f036-i07-p0002.jpg,2048,1559,2,dra037-s01-b002-f036-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f036-i07-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f036-i07-p0003.jpg,2048,1559,3,dra037-s01-b002-f036-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f036-i07-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f036-i07-p0004.jpg,2048,1559,4,dra037-s01-b002-f036-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f036-i07-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f036-i07-p0005.jpg,2048,1559,5,dra037-s01-b002-f036-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f036-i07-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f036-i07-p0006.jpg,2048,1559,6,dra037-s01-b002-f036-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f036-i07-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f036-i07-p0007.jpg,2048,1559,7,dra037-s01-b002-f036-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f036-i07-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f036-i07-p0008.jpg,2048,1559,8,dra037-s01-b002-f036-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f036-i07-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f036-i07-p0009.jpg,2048,1559,9,dra037-s01-b002-f036-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f036-i07-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f036-i07-p0010.jpg,1348,2048,10,dra037-s01-b002-f036-i07
