file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f025-i09-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f025-i09-p0001.jpg,1548,2048,1,dra037-s01-b002-f025-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f025-i09-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f025-i09-p0002.jpg,2048,1336,2,dra037-s01-b002-f025-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f026-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f026-i05-p0001.jpg,1584,2048,1,dra037-s01-b002-f026-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f026-i05-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f026-i05-p0002.jpg,1584,2048,2,dra037-s01-b002-f026-i05
