file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f039-i08-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f039-i08-p0001.jpg,1304,2048,1,dra037-s01-b003-f039-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f039-i08-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f039-i08-p0002.jpg,2048,1580,2,dra037-s01-b003-f039-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f040-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f040-i06-p0001.jpg,1320,2048,1,dra037-s01-b003-f040-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f040-i06-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f040-i06-p0002.jpg,2048,1576,2,dra037-s01-b003-f040-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f040-i06-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f040-i06-p0003.jpg,1323,2048,3,dra037-s01-b003-f040-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0001.jpg,1578,2048,1,dra037-s01-b003-f041-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0002.jpg,2048,1330,2,dra037-s01-b003-f041-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0003.jpg,2048,1330,3,dra037-s01-b003-f041-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0004.jpg,2048,1330,4,dra037-s01-b003-f041-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0005.jpg,2048,1330,5,dra037-s01-b003-f041-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0006.jpg,2048,1330,6,dra037-s01-b003-f041-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0007.jpg,2048,1330,7,dra037-s01-b003-f041-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0008.jpg,2048,1330,8,dra037-s01-b003-f041-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0009.jpg,2048,1330,9,dra037-s01-b003-f041-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0010.jpg,2048,1330,10,dra037-s01-b003-f041-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0011.jpg,2048,1330,11,dra037-s01-b003-f041-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0012.jpg,2048,1330,12,dra037-s01-b003-f041-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f041-i04-p0013.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f041-i04-p0013.jpg,1574,2048,13,dra037-s01-b003-f041-i04
