file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i09-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i09-p0001.jpg,1320,2048,1,dra037-s01-b001-f015-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i09-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i09-p0002.jpg,2048,1586,2,dra037-s01-b001-f015-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i09-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i09-p0003.jpg,1319,2048,3,dra037-s01-b001-f015-i09
