file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f067-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f067-i07-p0001.jpg,2048,2036,1,dra037-s01-b005-f067-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f068-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f068-i02-p0001.jpg,2048,1311,1,dra037-s01-b005-f068-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f068-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f068-i02-p0002.jpg,2048,1315,2,dra037-s01-b005-f068-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f068-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f068-i02-p0003.jpg,2048,1284,3,dra037-s01-b005-f068-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f068-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f068-i02-p0004.jpg,2048,1269,4,dra037-s01-b005-f068-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f068-i02-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f068-i02-p0005.jpg,2048,1299,5,dra037-s01-b005-f068-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f068-i02-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f068-i02-p0006.jpg,2048,1283,6,dra037-s01-b005-f068-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f068-i02-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f068-i02-p0007.jpg,2048,1303,7,dra037-s01-b005-f068-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f068-i02-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f068-i02-p0008.jpg,2048,1283,8,dra037-s01-b005-f068-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f068-i02-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f068-i02-p0009.jpg,2048,1300,9,dra037-s01-b005-f068-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f068-i02-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f068-i02-p0010.jpg,2048,1280,10,dra037-s01-b005-f068-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f068-i02-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f068-i02-p0011.jpg,2048,1303,11,dra037-s01-b005-f068-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f068-i02-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f068-i02-p0012.jpg,2048,1293,12,dra037-s01-b005-f068-i02
