file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i07-p0001.jpg,2048,1527,1,dra037-s01-b002-f034-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i07-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i07-p0002.jpg,2048,1527,2,dra037-s01-b002-f034-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i07-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i07-p0003.jpg,2048,1527,3,dra037-s01-b002-f034-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i07-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i07-p0004.jpg,2048,1527,4,dra037-s01-b002-f034-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i07-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i07-p0005.jpg,2048,1527,5,dra037-s01-b002-f034-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i07-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i07-p0006.jpg,2048,1527,6,dra037-s01-b002-f034-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f034-i07-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f034-i07-p0007.jpg,1379,2048,7,dra037-s01-b002-f034-i07
