file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f059-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f059-i07-p0001.jpg,1348,2048,1,dra037-s01-b004-f059-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f059-i07-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f059-i07-p0002.jpg,2048,1861,2,dra037-s01-b004-f059-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f059-i07-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f059-i07-p0003.jpg,1348,2048,3,dra037-s01-b004-f059-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f060-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f060-i07-p0001.jpg,1377,2048,1,dra037-s01-b004-f060-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f060-i07-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f060-i07-p0002.jpg,1355,2048,2,dra037-s01-b004-f060-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f060-i07-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f060-i07-p0003.jpg,1370,2048,3,dra037-s01-b004-f060-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f060-i07-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f060-i07-p0004.jpg,1370,2048,4,dra037-s01-b004-f060-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f060-i07-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f060-i07-p0005.jpg,1370,2048,5,dra037-s01-b004-f060-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f060-i07-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f060-i07-p0006.jpg,1370,2048,6,dra037-s01-b004-f060-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f060-i07-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f060-i07-p0007.jpg,1353,2048,7,dra037-s01-b004-f060-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f060-i07-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f060-i07-p0008.jpg,1370,2048,8,dra037-s01-b004-f060-i07
