file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i09-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i09-p0001.jpg,1327,2048,1,dra037-s01-b001-f013-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i09-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i09-p0002.jpg,2048,1583,2,dra037-s01-b001-f013-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i09-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i09-p0003.jpg,1335,2048,3,dra037-s01-b001-f013-i09
