file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f037-i09-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f037-i09-p0001.jpg,662,2048,1,dra037-s01-b003-f037-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f038-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f038-i06-p0001.jpg,1355,2048,1,dra037-s01-b003-f038-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f038-i06-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f038-i06-p0002.jpg,2048,1544,2,dra037-s01-b003-f038-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f038-i06-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f038-i06-p0003.jpg,2048,1544,3,dra037-s01-b003-f038-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f038-i06-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f038-i06-p0004.jpg,2048,1544,4,dra037-s01-b003-f038-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f038-i06-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f038-i06-p0005.jpg,2048,1544,5,dra037-s01-b003-f038-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f038-i06-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f038-i06-p0006.jpg,2048,1544,6,dra037-s01-b003-f038-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f038-i06-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f038-i06-p0007.jpg,2048,1544,7,dra037-s01-b003-f038-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f038-i06-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f038-i06-p0008.jpg,2048,1563,8,dra037-s01-b003-f038-i06
