file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0012.jpg,2048,1536,12,dra037-s01-b002-f028-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0013.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0013.jpg,2048,1536,13,dra037-s01-b002-f028-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0014.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0014.jpg,1353,2048,14,dra037-s01-b002-f028-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i06-p0001.jpg,1567,2048,1,dra037-s01-b002-f028-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i07-p0001.jpg,1567,2048,1,dra037-s01-b002-f028-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0001.jpg,2048,1555,1,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0002.jpg,2048,1558,2,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0003.jpg,2048,1550,3,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0004.jpg,2048,1543,4,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0005.jpg,2048,1543,5,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0006.jpg,2048,1543,6,dra037-s01-b002-f028-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i08-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i08-p0007.jpg,2048,1543,7,dra037-s01-b002-f028-i08
