file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i07-p0001.jpg,1279,2048,1,dra037-s01-b001-f004-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i07-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i07-p0002.jpg,2048,1637,2,dra037-s01-b001-f004-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f005-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f005-i03-p0001.jpg,1315,2048,1,dra037-s01-b001-f005-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f005-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f005-i03-p0002.jpg,2048,1575,2,dra037-s01-b001-f005-i03
