file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f011-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f011-i06-p0001.jpg,1120,2048,1,dra037-s01-b001-f011-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f011-i06-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f011-i06-p0002.jpg,2048,1252,2,dra037-s01-b001-f011-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f011-i06-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f011-i06-p0003.jpg,1095,2048,3,dra037-s01-b001-f011-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f011-i06-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f011-i06-p0004.jpg,1101,2048,4,dra037-s01-b001-f011-i06
