file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i02-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i02-p0011.jpg,2048,1536,11,dra037-s01-b002-f030-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i02-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i02-p0012.jpg,2048,1530,12,dra037-s01-b002-f030-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i02-p0013.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i02-p0013.jpg,2048,1530,13,dra037-s01-b002-f030-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i02-p0014.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i02-p0014.jpg,1373,2048,14,dra037-s01-b002-f030-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i03-p0001.jpg,1177,2048,1,dra037-s01-b002-f030-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0001.jpg,2048,1521,1,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0002.jpg,2048,1521,2,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0003.jpg,2048,1521,3,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0004.jpg,2048,1521,4,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0005.jpg,2048,1521,5,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0006.jpg,2048,1521,6,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0007.jpg,2048,1521,7,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0008.jpg,2048,1521,8,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0009.jpg,2048,1521,9,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0010.jpg,2048,1521,10,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0011.jpg,2048,1521,11,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0012.jpg,2048,1521,12,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0013.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0013.jpg,2048,1521,13,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0014.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0014.jpg,2048,1542,14,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i04-p0015.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i04-p0015.jpg,1375,2048,15,dra037-s01-b002-f030-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i05-p0001.jpg,1000,2048,1,dra037-s01-b002-f030-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i06-p0001.jpg,938,2048,1,dra037-s01-b002-f030-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0001.jpg,2048,1520,1,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0002.jpg,2048,1520,2,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0003.jpg,2048,1520,3,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0004.jpg,2048,1520,4,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0005.jpg,2048,1520,5,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0006.jpg,2048,1520,6,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0007.jpg,2048,1520,7,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0008.jpg,2048,1520,8,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0009.jpg,2048,1520,9,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0010.jpg,2048,1512,10,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0011.jpg,2048,1512,11,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0012.jpg,2048,1512,12,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0013.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0013.jpg,2048,1512,13,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0014.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0014.jpg,2048,1512,14,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0015.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0015.jpg,2048,1512,15,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i07-p0016.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i07-p0016.jpg,1390,2048,16,dra037-s01-b002-f030-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i08-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i08-p0001.jpg,1015,2048,1,dra037-s01-b002-f030-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f030-i09-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f030-i09-p0001.jpg,1585,2048,1,dra037-s01-b002-f030-i09
