file_path,thumbnail,width,height,order,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f075-i08-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f075-i08-p0001.jpg,1668,2048,1,dra037-s01-b006-f075-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f075-i08-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f075-i08-p0002.jpg,1676,2048,2,dra037-s01-b006-f075-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f075-i08-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f075-i08-p0003.jpg,1676,2048,3,dra037-s01-b006-f075-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f075-i08-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f075-i08-p0004.jpg,1676,2048,4,dra037-s01-b006-f075-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f076-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f076-i07-p0001.jpg,2048,1330,1,dra037-s01-b006-f076-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f077-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f077-i02-p0001.jpg,1662,2048,1,dra037-s01-b006-f077-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f077-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f077-i02-p0002.jpg,1662,2048,2,dra037-s01-b006-f077-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f077-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f077-i02-p0003.jpg,1662,2048,3,dra037-s01-b006-f077-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f077-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f077-i02-p0004.jpg,1678,2048,4,dra037-s01-b006-f077-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f078-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f078-i01-p0001.jpg,1267,2048,1,dra037-s01-b006-f078-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f078-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f078-i01-p0002.jpg,1328,2048,2,dra037-s01-b006-f078-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f078-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f078-i01-p0003.jpg,1302,2048,3,dra037-s01-b006-f078-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f078-i01-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f078-i01-p0004.jpg,1322,2048,4,dra037-s01-b006-f078-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f078-i01-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f078-i01-p0005.jpg,1307,2048,5,dra037-s01-b006-f078-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f078-i01-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f078-i01-p0006.jpg,1325,2048,6,dra037-s01-b006-f078-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f078-i01-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f078-i01-p0007.jpg,1288,2048,7,dra037-s01-b006-f078-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f078-i01-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f078-i01-p0008.jpg,1330,2048,8,dra037-s01-b006-f078-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f078-i01-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f078-i01-p0009.jpg,1295,2048,9,dra037-s01-b006-f078-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f078-i01-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f078-i01-p0010.jpg,1329,2048,10,dra037-s01-b006-f078-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f078-i01-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f078-i01-p0011.jpg,1296,2048,11,dra037-s01-b006-f078-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b006-f078-i01-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b006-f078-i01-p0012.jpg,1296,2048,12,dra037-s01-b006-f078-i01
